date,text,place
Fri Jul 22 20:58:10 +0000 2016,@craigpaul85 wouldn't be if Pokemon frigging go wasn't priority of yours tonight....,NA
Fri Jul 22 20:58:11 +0000 2016,"RT @OMGitsfirefoxx: POKEMON GO ADVENTURES ON THE SANTA MONICA PIER :-)

https://t.co/jbFqC29LUP",NA
Fri Jul 22 20:58:11 +0000 2016,Also think it's fucking HILARIOUS that mine and @WastedElegance's Pokemon Go running girl is identical except I'm blonde and she's brunette.,"North East, England"
Fri Jul 22 20:58:10 +0000 2016,@craigpaul85 wouldn't be if Pokemon frigging go wasn't priority of yours tonight....,NA
Fri Jul 22 20:58:11 +0000 2016,"RT @OMGitsfirefoxx: POKEMON GO ADVENTURES ON THE SANTA MONICA PIER :-)

https://t.co/jbFqC29LUP",NA
Fri Jul 22 20:58:11 +0000 2016,"North East, England","North East, England"
Fri Jul 22 20:58:10 +0000 2016,@craigpaul85 wouldn't be if Pokemon frigging go wasn't priority of yours tonight....,NA
Fri Jul 22 20:58:11 +0000 2016,"RT @OMGitsfirefoxx: POKEMON GO ADVENTURES ON THE SANTA MONICA PIER :-)

https://t.co/jbFqC29LUP",NA
Fri Jul 22 20:58:11 +0000 2016,Also think it's fucking HILARIOUS that mine and @WastedElegance's Pokemon Go running girl is identical except I'm blonde and she's brunette.,"North East, England"
Fri Jul 22 20:58:10 +0000 2016,@craigpaul85 wouldn't be if Pokemon frigging go wasn't priority of yours tonight....,NA
Fri Jul 22 20:58:11 +0000 2016,"RT @OMGitsfirefoxx: POKEMON GO ADVENTURES ON THE SANTA MONICA PIER :-)

https://t.co/jbFqC29LUP",NA
Fri Jul 22 20:58:11 +0000 2016,Also think it's fucking HILARIOUS that mine and @WastedElegance's Pokemon Go running girl is identical except I'm blonde and she's brunette.,"North East, England"
Fri Jul 22 20:58:11 +0000 2016,RT @eurogamer: Running low on Stardust in Pok?mon Go? Here's a few ways to get a quick top up: https://t.co/ZAmABZNXm5 https://t.co/Y8TTnuw?,NA
